#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
aeonsteel                                         (tinkerscompendium:tinkerscompendium.molten_aeonsteel)                           = Molten Aeonsteel
queensgold                                        (tinkerscompendium:tinkerscompendium.molten_queensgold)                          = Molten Queensgold
dogbearium                                        (tinkerscompendium:tinkerscompendium.molten_dogbearium)                          = Molten Dogbearium
sinisterium                                       (tinkerscompendium:tinkerscompendium.molten_sinisterium)                         = Molten Sinisterium
orichalcum                                        (tinkerscompendium:tinkerscompendium.molten_orichalcum)                          = Molten Orichalcum
pandorium                                         (tinkerscompendium:tinkerscompendium.molten_pandorium)                           = Molten Pandorium
rosegold                                          (tinkerscompendium:tinkerscompendium.molten_rosegold)                            = Molten Rosegold
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
valyriansteel                                     (tinkerscompendium:tinkerscompendium.molten_valyriansteel)                       = Molten Valyriansteel
froststeel                                        (tinkerscompendium:tinkerscompendium.molten_froststeel)                          = Molten Froststeel
bloodbronze                                       ([no block])                                                                     = Molten Blood Bronze
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
