#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
liquidcoralium                                    (abyssalcraft:cwater)                                                            = Liquid Coralium
liquidantimatter                                  (abyssalcraft:antiwater)                                                         = Liquid Antimatter
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
slop                                              (animania:slop)                                                                  = Slop
milk_holstein                                     (animania:milk_holstein)                                                         = Holstein Milk
milk_friesian                                     (animania:milk_friesian)                                                         = Friesian Milk
milk_jersey                                       (animania:milk_jersey)                                                           = Jersey Milk
milk_goat                                         (animania:milk_goat)                                                             = Goat Milk
milk_sheep                                        (animania:milk_sheep)                                                            = Sheep Milk
animania_honey                                    (animania:honey)                                                                 = Honey
creosote                                          (railcraft:creosote)                                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (gregtech:fluid.platinum)                                                        = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = Molten Abyssalnite
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = Molten Refined Coralium
moltendreadium                                    (acintegration:moltendreadium)                                                   = Molten Dreadium
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = Canola Oil
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = Refined Canola Oil
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = Crystallized Oil
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = Empowered Oil
polluted_water                                    (adpother:polluted_water)                                                        = Polluted Water
ic2uu_matter                                      (ic2:uu_matter)                                                                  = UU-Matter
ic2construction_foam                              (ic2:construction_foam)                                                          = Construction Foam
ic2coolant                                        (ic2:coolant)                                                                    = IC2 Coolant
ic2creosote                                       (ic2:creosote)                                                                   = Creosote
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = IC2 Hot Coolant
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Pahoehoe Lava
ic2biomass                                        (ic2:biomass)                                                                    = Biomass
ic2biogas                                         (ic2:biogas)                                                                     = Biogas
ic2distilled_water                                (ic2:distilled_water)                                                            = Distilled Water
ic2superheated_steam                              (ic2:superheated_steam)                                                          = Superheated Steam
ic2steam                                          (ic2:steam)                                                                      = Steam
ic2hot_water                                      (ic2:hot_water)                                                                  = Hotspring Water
ic2weed_ex                                        (ic2:weed_ex)                                                                    = Weed-Ex
ic2air                                            (ic2:air)                                                                        = Air
ic2hydrogen                                       (ic2:hydrogen)                                                                   = Hydrogen
ic2oxygen                                         (ic2:oxygen)                                                                     = Oxygen
ic2heavy_water                                    (ic2:heavy_water)                                                                = Heavy Water
fresh_water                                       (aquamunda:fresh_water)                                                          = Fresh Water
matter_plasma                                     (matteroverdrive:matter_plasma)                                                  = Matter Plasma
molten_tritanium                                  (matteroverdrive:molten_tritanium)                                               = Molten Tritanium
molten_dilithium                                  ([no block])                                                                     = fluid.molten_dilithium.name
oil                                               (galacticraftcore:crude_oil_still)                                               = Oil
fuel                                              (galacticraftcore:fuel)                                                          = Fuel
oxygen                                            (advancedrocketry:oxygenfluid)                                                   = Oxygen Gas
hydrogen                                          (advancedrocketry:hydrogenfluid)                                                 = Hydrogen Gas
bacterialsludge                                   (galacticraftplanets:sludge)                                                     = Bacterial Sludge
methane                                           ([no block])                                                                     = Methane Gas
atmosphericgases                                  ([no block])                                                                     = Atmospheric Gases
liquidmethane                                     ([no block])                                                                     = Liquid Methane
liquidnitrogen                                    ([no block])                                                                     = Liquid Nitrogen
nitrogen                                          (advancedrocketry:nitrogenfluid)                                                 = Nitrogen Gas
carbondioxide                                     ([no block])                                                                     = CO2 Gas
argon                                             ([no block])                                                                     = Argon Gas
liquidargon                                       ([no block])                                                                     = Liquid Argon
helium                                            ([no block])                                                                     = Helium Gas
sulphuricacid                                     (galacticraftplanets:sulphuric_acid)                                             = Sulphuric Acid
atomicscience:antimatter                          ([no block])                                                                     = Antimatter
atomicscience:strange_matter                      ([no block])                                                                     = Strange Matter
atomicscience:deuterium                           ([no block])                                                                     = Deuterium
atomicscience:reactor_waste                       (atomicscience:reactor_waste)                                                    = Reactor Waste
atomicscience:mineral_waste                       (atomicscience:liquid_mineral_waste)                                             = Contaminated Mineral Sludge
atomicscience:contaminated_mineral_water          (atomicscience:contaminated_mineral_water)                                       = Contaminated Mineral Solution
atomicscience:contaminated_water                  (atomicscience:contaminated_water)                                               = Contaminated Water
atomicscience:uranium_hexafluoride                ([no block])                                                                     = Uranium Hexafluoride
amber                                             (cyclicmagic:amber)                                                              = Amber
biomass                                           (cyclicmagic:biomass)                                                            = Biomass
crystal                                           (cyclicmagic:crystal)                                                            = Crystallized Obsidian
milk                                              (cyclicmagic:milk)                                                               = Milk
xpjuice                                           (cyclicmagic:xpjuice)                                                            = XP
element.rn                                        (minechem:element.rn)                                                            = Radon
element.hg                                        (minechem:element.hg)                                                            = Mercury
element.xe                                        (minechem:element.xe)                                                            = Xenon
element.kr                                        (minechem:element.kr)                                                            = Krypton
element.br                                        (minechem:element.br)                                                            = Bromine
element.ar                                        (minechem:element.ar)                                                            = Argon
element.cl                                        (minechem:element.cl)                                                            = Chlorine
element.ne                                        (minechem:element.ne)                                                            = Neon
element.f                                         (minechem:element.f)                                                             = Fluorine
element.o                                         (minechem:element.o)                                                             = Oxygen
element.n                                         (minechem:element.n)                                                             = Nitrogen
element.he                                        (minechem:element.he)                                                            = Helium
element.h                                         (minechem:element.h)                                                             = Hydrogen
molecule.carbondioxide                            (minechem:molecule.carbondioxide)                                                = Carbon Dioxide
molecule.nitrogendioxide                          (minechem:molecule.nitrogendioxide)                                              = Nitrogen Dioxide
molecule.toluene                                  (minechem:molecule.toluene)                                                      = Toluene
molecule.cyanide                                  (minechem:molecule.cyanide)                                                      = Potassium Cyanide
molecule.hydroxide                                (minechem:molecule.hydroxide)                                                    = Hydroxide (ion)
molecule.ammonium                                 (minechem:molecule.ammonium)                                                     = Ammonium (ion)
molecule.hydronium                                (minechem:molecule.hydronium)                                                    = Hydronium (ion)
molecule.peroxide                                 (minechem:molecule.peroxide)                                                     = Peroxide (ion)
molecule.butene                                   (minechem:molecule.butene)                                                       = Butene
molecule.polyisobutylene                          (minechem:molecule.polyisobutylene)                                              = Polyisobutylene Rubber
molecule.vinylchloride                            (minechem:molecule.vinylchloride)                                                = Vinyl Chloride Monomer
molecule.methyl                                   (minechem:molecule.methyl)                                                       = Methyl (ion)
molecule.methylene                                (minechem:molecule.methylene)                                                    = Methylene (ion)
molecule.memethacrylate                           (minechem:molecule.memethacrylate)                                               = Methyl Methacrylate
molecule.blackpigment                             (minechem:molecule.blackpigment)                                                 = Carbon Black
molecule.ethanol                                  (minechem:molecule.ethanol)                                                      = Ethyl Alcohol
molecule.amphetamine                              (minechem:molecule.amphetamine)                                                  = Amphetamine
molecule.testosterone                             (minechem:molecule.testosterone)                                                 = Testosterone
molecule.sulfuricacid                             (minechem:molecule.sulfuricacid)                                                 = Sulfuric Acid
molecule.glyphosate                               (minechem:molecule.glyphosate)                                                   = Glyphosate
molecule.ammonia                                  (minechem:molecule.ammonia)                                                      = Ammonia
molecule.mt                                       (minechem:molecule.mt)                                                           = Methylcyclopentadienyl Manganese Tricarbonyl
molecule.phosgene                                 (minechem:molecule.phosgene)                                                     = Phosgene
molecule.aalc                                     (minechem:molecule.aalc)                                                         = Allyl Alcohol
molecule.hcl                                      (minechem:molecule.hcl)                                                          = Hydrogen Chloride
molecule.blueorgodye                              (minechem:molecule.blueorgodye)                                                  = Guaiazulene
molecule.meoh                                     (minechem:molecule.meoh)                                                         = Methyl Alcohol
molecule.hperox                                   (minechem:molecule.hperox)                                                       = Hydrogen Peroxide
molecule.fibroin                                  (minechem:molecule.fibroin)                                                      = Fibroin
molecule.propane                                  (minechem:molecule.propane)                                                      = Propane
molecule.sulfurdioxide                            (minechem:molecule.sulfurdioxide)                                                = Sulfur Dioxide
molecule.hydrogensulfide                          (minechem:molecule.hydrogensulfide)                                              = Hydrogen Sulfide
fluidberylium                                     (techreborn:techreborn_techreborn.berylium)                                      = Beryllium
fluidcalcium                                      (techreborn:techreborn_techreborn.calcium)                                       = Calcium
fluidcalciumcarbonate                             (techreborn:techreborn_techreborn.calciumcarbonate)                              = Calciumcarbonate
fluidchlorite                                     (techreborn:techreborn_techreborn.chlorite)                                      = Chlorite
fluiddeuterium                                    (techreborn:techreborn_techreborn.deuterium)                                     = Deuterium
fluidglyceryl                                     (techreborn:techreborn_techreborn.glyceryl)                                      = Glyceryl
fluidhelium                                       (techreborn:techreborn_techreborn.helium)                                        = Helium
fluidhelium3                                      (techreborn:techreborn_techreborn.helium3)                                       = Helium3
fluidheliumplasma                                 (techreborn:techreborn_techreborn.heliumplasma)                                  = Heliumplasma
fluidhydrogen                                     (techreborn:techreborn_techreborn.hydrogen)                                      = Hydrogen
fluidlithium                                      (techreborn:techreborn_techreborn.lithium)                                       = Lithium
fluidmercury                                      (techreborn:techreborn_techreborn.mercury)                                       = Mercury
fluidmethane                                      (techreborn:techreborn_techreborn.methane)                                       = Methane
fluidnitrocoalfuel                                (techreborn:techreborn_techreborn.nitrocoalfuel)                                 = Nitrocoalfuel
fluidnitrofuel                                    (techreborn:techreborn_techreborn.nitrofuel)                                     = Nitrofuel
fluidnitrogen                                     (techreborn:techreborn_techreborn.nitrogen)                                      = Nitrogen
fluidnitrogendioxide                              (techreborn:techreborn_techreborn.nitrogendioxide)                               = Nitrogendioxide
fluidpotassium                                    (techreborn:techreborn_techreborn.potassium)                                     = Potassium
fluidsilicon                                      (techreborn:techreborn_techreborn.silicon)                                       = Silicon
fluidsodium                                       (techreborn:techreborn_techreborn.sodium)                                        = Sodium
fluidsodiumpersulfate                             (techreborn:techreborn_techreborn.sodiumpersulfate)                              = Sodiumpersulfate
fluidtritium                                      (techreborn:techreborn_techreborn.tritium)                                       = Tritium
fluidwolframium                                   (techreborn:techreborn_techreborn.wolframium)                                    = Wolframium
fluidcarbon                                       (techreborn:techreborn_techreborn.carbon)                                        = Carbon
fluidcarbonfiber                                  (techreborn:techreborn_techreborn.carbonfiber)                                   = Carbon Fiber
fluidnitrocarbon                                  (techreborn:techreborn_techreborn.nitrocarbon)                                   = Nitrocarbon
fluidsulfur                                       (techreborn:techreborn_techreborn.sulfur)                                        = Sulfur
fluidsodiumsulfide                                (techreborn:techreborn_techreborn.sodiumsulfide)                                 = Sodium Sulfide
fluiddiesel                                       (techreborn:techreborn_techreborn.diesel)                                        = Diesel
fluidnitrodiesel                                  (techreborn:techreborn_techreborn.nitrodiesel)                                   = Nitrodiesel
fluidoil                                          (techreborn:techreborn_techreborn.oil)                                           = Oil
fluidsulfuricacid                                 (techreborn:techreborn_techreborn.sulfuricacid)                                  = Sulfuric Acid
fluidcompressedair                                (techreborn:techreborn_techreborn.compressedair)                                 = Compressed Air
fluidelectrolyzedwater                            (techreborn:techreborn_techreborn.electrolyzedwater)                             = Electrolyzed Water
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = Oil (§6Hot§r)
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = Oil (§cSearing§r)
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = Residue (§bCool§r)
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = Residue (§6Hot§r)
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = Residue (§cSearing§r)
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = Heavy Oil (§bCool§r)
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = Heavy Oil (§6Hot§r)
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = Heavy Oil (§cSearing§r)
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = Dense Oil (§bCool§r)
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = Dense Oil (§6Hot§r)
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = Dense Oil (§cSearing§r)
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = Distilled Oil (§bCool§r)
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = Distilled Oil (§6Hot§r)
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = Distilled Oil (§cSearing§r)
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = Dense Fuel (§bCool§r)
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = Dense Fuel (§6Hot§r)
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = Dense Fuel (§cSearing§r)
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = Mixed Heavy Fuels (§bCool§r)
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = Mixed Heavy Fuels (§6Hot§r)
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = Mixed Heavy Fuels (§cSearing§r)
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = Light Fuel (§bCool§r)
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = Light Fuel (§6Hot§r)
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = Light Fuel (§cSearing§r)
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = Mixed Light Fuels (§bCool§r)
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = Mixed Light Fuels (§6Hot§r)
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = Mixed Light Fuels (§cSearing§r)
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = Gaseous Fuel (§bCool§r)
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = Gaseous Fuel (§6Hot§r)
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = Gaseous Fuel (§cSearing§r)
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
